Timestamp,Coke,Coal,PCI
2026-01-01 00:00:00,525,92,93
2026-01-01 01:00:00,523,88,98
2026-01-01 02:00:00,523,91,92
2026-01-01 03:00:00,520,91,87
2026-01-01 04:00:00,508,90,92
2026-01-01 05:00:00,534,84,88
2026-01-01 06:00:00,532,95,95
2026-01-01 07:00:00,506,87,96
2026-01-01 08:00:00,535,87,99
2026-01-01 09:00:00,517,81,99
2026-01-01 10:00:00,539,94,100
2026-01-01 11:00:00,537,93,87
2026-01-01 12:00:00,510,80,99
2026-01-01 13:00:00,535,81,96
2026-01-01 14:00:00,530,84,87
2026-01-01 15:00:00,522,82,93
2026-01-01 16:00:00,536,88,85
2026-01-01 17:00:00,538,95,98
2026-01-01 18:00:00,508,92,91
2026-01-01 19:00:00,528,89,94
2026-01-01 20:00:00,521,87,98
2026-01-01 21:00:00,509,90,85
2026-01-01 22:00:00,539,81,96
2026-01-01 23:00:00,537,83,87
2026-01-02 00:00:00,539,82,98
2026-01-02 01:00:00,510,86,92
2026-01-02 02:00:00,538,85,90
2026-01-02 03:00:00,501,95,88
2026-01-02 04:00:00,521,82,88
2026-01-02 05:00:00,525,92,98
2026-01-02 06:00:00,524,95,89
2026-01-02 07:00:00,521,85,88
2026-01-02 08:00:00,519,91,90
2026-01-02 09:00:00,527,88,100
2026-01-02 10:00:00,505,85,93
2026-01-02 11:00:00,525,86,92
2026-01-02 12:00:00,522,82,95
2026-01-02 13:00:00,528,83,93
2026-01-02 14:00:00,501,81,86
2026-01-02 15:00:00,523,83,90
2026-01-02 16:00:00,500,80,85
2026-01-02 17:00:00,520,92,94
2026-01-02 18:00:00,501,91,87
2026-01-02 19:00:00,511,86,100
2026-01-02 20:00:00,511,86,96
2026-01-02 21:00:00,506,84,96
2026-01-02 22:00:00,536,85,99
2026-01-02 23:00:00,511,84,99
2026-01-03 00:00:00,501,81,88
2026-01-03 01:00:00,519,89,88
2026-01-03 02:00:00,522,85,90
2026-01-03 03:00:00,506,95,91
2026-01-03 04:00:00,538,84,95
2026-01-03 05:00:00,529,92,99
2026-01-03 06:00:00,507,82,95
2026-01-03 07:00:00,515,91,89
2026-01-03 08:00:00,515,95,91
2026-01-03 09:00:00,525,81,96
2026-01-03 10:00:00,503,95,88
2026-01-03 11:00:00,533,82,95
2026-01-03 12:00:00,533,92,91
2026-01-03 13:00:00,518,90,89
2026-01-03 14:00:00,528,86,94
2026-01-03 15:00:00,540,93,97
2026-01-03 16:00:00,527,92,87
2026-01-03 17:00:00,531,80,100
2026-01-03 18:00:00,506,90,100
2026-01-03 19:00:00,539,92,94
2026-01-03 20:00:00,531,89,86
2026-01-03 21:00:00,533,81,91
2026-01-03 22:00:00,505,89,90
2026-01-03 23:00:00,520,81,85
2026-01-04 00:00:00,503,89,97
2026-01-04 01:00:00,512,91,86
2026-01-04 02:00:00,527,85,96
2026-01-04 03:00:00,502,86,88
2026-01-04 04:00:00,529,85,92
2026-01-04 05:00:00,520,82,91
2026-01-04 06:00:00,531,86,85
2026-01-04 07:00:00,502,92,91
2026-01-04 08:00:00,507,89,85
2026-01-04 09:00:00,515,90,90
2026-01-04 10:00:00,524,87,96
2026-01-04 11:00:00,525,81,89
2026-01-04 12:00:00,509,87,93
2026-01-04 13:00:00,527,89,91
2026-01-04 14:00:00,517,93,85
2026-01-04 15:00:00,526,93,97
2026-01-04 16:00:00,517,86,100
2026-01-04 17:00:00,516,80,97
2026-01-04 18:00:00,502,94,89
2026-01-04 19:00:00,514,82,88
2026-01-04 20:00:00,507,85,100
2026-01-04 21:00:00,504,85,95
2026-01-04 22:00:00,510,88,97
2026-01-04 23:00:00,518,89,94
2026-01-05 00:00:00,536,88,88
2026-01-05 01:00:00,507,92,91
2026-01-05 02:00:00,505,95,91
2026-01-05 03:00:00,508,81,100
2026-01-05 04:00:00,530,83,88
2026-01-05 05:00:00,514,81,97
2026-01-05 06:00:00,511,82,87
2026-01-05 07:00:00,515,93,96
2026-01-05 08:00:00,528,84,99
2026-01-05 09:00:00,538,81,91
2026-01-05 10:00:00,513,90,86
2026-01-05 11:00:00,536,80,89
2026-01-05 12:00:00,521,88,90
2026-01-05 13:00:00,522,94,91
2026-01-05 14:00:00,503,92,97
2026-01-05 15:00:00,509,89,87
2026-01-05 16:00:00,514,85,91
2026-01-05 17:00:00,521,94,85
2026-01-05 18:00:00,528,82,92
2026-01-05 19:00:00,538,89,90
2026-01-05 20:00:00,509,90,86
2026-01-05 21:00:00,507,82,98
2026-01-05 22:00:00,533,80,90
2026-01-05 23:00:00,520,91,86
2026-01-06 00:00:00,509,83,92
2026-01-06 01:00:00,500,92,85
2026-01-06 02:00:00,536,81,97
2026-01-06 03:00:00,536,83,92
2026-01-06 04:00:00,540,81,87
2026-01-06 05:00:00,501,95,97
2026-01-06 06:00:00,518,92,99
2026-01-06 07:00:00,515,95,93
2026-01-06 08:00:00,522,94,100
2026-01-06 09:00:00,509,94,96
2026-01-06 10:00:00,514,84,94
2026-01-06 11:00:00,540,85,97
2026-01-06 12:00:00,516,85,96
2026-01-06 13:00:00,501,93,94
2026-01-06 14:00:00,509,81,99
2026-01-06 15:00:00,526,87,97
2026-01-06 16:00:00,508,91,91
2026-01-06 17:00:00,525,93,98
2026-01-06 18:00:00,529,94,99
2026-01-06 19:00:00,524,94,96
2026-01-06 20:00:00,521,90,97
2026-01-06 21:00:00,508,86,92
2026-01-06 22:00:00,513,86,91
2026-01-06 23:00:00,539,91,99
2026-01-07 00:00:00,535,93,96
2026-01-07 01:00:00,519,86,97
2026-01-07 02:00:00,509,95,88
2026-01-07 03:00:00,534,94,94
2026-01-07 04:00:00,539,93,86
2026-01-07 05:00:00,512,86,95
2026-01-07 06:00:00,535,85,97
2026-01-07 07:00:00,533,93,90
2026-01-07 08:00:00,528,80,91
2026-01-07 09:00:00,524,85,93
2026-01-07 10:00:00,536,84,97
2026-01-07 11:00:00,536,86,89
2026-01-07 12:00:00,526,90,99
2026-01-07 13:00:00,515,84,100
2026-01-07 14:00:00,520,81,88
2026-01-07 15:00:00,504,82,85
2026-01-07 16:00:00,500,81,95
2026-01-07 17:00:00,505,90,96
2026-01-07 18:00:00,512,84,91
2026-01-07 19:00:00,519,82,96
2026-01-07 20:00:00,539,90,99
2026-01-07 21:00:00,530,90,90
2026-01-07 22:00:00,518,89,88
2026-01-07 23:00:00,535,85,89
2026-01-08 00:00:00,510,93,88
2026-01-08 01:00:00,534,93,90
2026-01-08 02:00:00,535,95,93
2026-01-08 03:00:00,515,83,89
2026-01-08 04:00:00,528,83,86
2026-01-08 05:00:00,508,92,100
2026-01-08 06:00:00,524,95,90
2026-01-08 07:00:00,501,91,99
2026-01-08 08:00:00,537,85,99
2026-01-08 09:00:00,501,95,96
2026-01-08 10:00:00,521,82,96
2026-01-08 11:00:00,504,85,89
2026-01-08 12:00:00,539,89,97
2026-01-08 13:00:00,509,83,91
2026-01-08 14:00:00,540,90,94
2026-01-08 15:00:00,505,91,100
2026-01-08 16:00:00,501,93,90
2026-01-08 17:00:00,523,88,91
2026-01-08 18:00:00,532,88,85
2026-01-08 19:00:00,531,90,90
2026-01-08 20:00:00,503,87,94
2026-01-08 21:00:00,516,94,98
2026-01-08 22:00:00,521,81,93
2026-01-08 23:00:00,529,82,95
2026-01-09 00:00:00,535,81,89
2026-01-09 01:00:00,539,80,85
2026-01-09 02:00:00,519,92,91
2026-01-09 03:00:00,530,92,97
2026-01-09 04:00:00,502,88,97
2026-01-09 05:00:00,521,91,98
2026-01-09 06:00:00,526,90,89
2026-01-09 07:00:00,522,88,91
2026-01-09 08:00:00,531,89,93
2026-01-09 09:00:00,505,94,87
2026-01-09 10:00:00,520,83,85
2026-01-09 11:00:00,508,83,92
2026-01-09 12:00:00,504,85,96
2026-01-09 13:00:00,504,84,92
2026-01-09 14:00:00,505,82,85
2026-01-09 15:00:00,500,90,87
2026-01-09 16:00:00,509,94,95
2026-01-09 17:00:00,506,83,86
2026-01-09 18:00:00,508,86,87
2026-01-09 19:00:00,511,82,87
2026-01-09 20:00:00,500,93,92
2026-01-09 21:00:00,513,81,87
2026-01-09 22:00:00,524,90,91
2026-01-09 23:00:00,530,86,100
2026-01-10 00:00:00,538,85,100
2026-01-10 01:00:00,518,81,99
2026-01-10 02:00:00,511,80,87
2026-01-10 03:00:00,511,86,93
2026-01-10 04:00:00,509,86,88
2026-01-10 05:00:00,504,86,90
2026-01-10 06:00:00,520,87,90
2026-01-10 07:00:00,525,89,98
2026-01-10 08:00:00,532,89,91
2026-01-10 09:00:00,527,88,96
2026-01-10 10:00:00,515,80,93
2026-01-10 11:00:00,518,85,87
2026-01-10 12:00:00,503,82,100
2026-01-10 13:00:00,522,81,98
2026-01-10 14:00:00,505,94,85
2026-01-10 15:00:00,505,90,96
2026-01-10 16:00:00,538,82,93
2026-01-10 17:00:00,520,94,96
2026-01-10 18:00:00,530,91,100
2026-01-10 19:00:00,519,95,95
2026-01-10 20:00:00,534,86,92
2026-01-10 21:00:00,537,85,86
2026-01-10 22:00:00,522,93,99
2026-01-10 23:00:00,529,90,97
2026-01-11 00:00:00,529,94,99
2026-01-11 01:00:00,509,84,97
2026-01-11 02:00:00,526,80,89
2026-01-11 03:00:00,520,92,89
2026-01-11 04:00:00,525,91,85
2026-01-11 05:00:00,527,85,89
2026-01-11 06:00:00,537,85,91
2026-01-11 07:00:00,506,80,97
2026-01-11 08:00:00,530,84,93
2026-01-11 09:00:00,521,86,85
2026-01-11 10:00:00,531,92,90
2026-01-11 11:00:00,519,88,92
2026-01-11 12:00:00,512,95,100
2026-01-11 13:00:00,527,93,90
2026-01-11 14:00:00,531,81,96
2026-01-11 15:00:00,506,82,95
2026-01-11 16:00:00,530,89,89
2026-01-11 17:00:00,515,95,91
2026-01-11 18:00:00,526,95,85
2026-01-11 19:00:00,519,85,95
2026-01-11 20:00:00,540,89,98
2026-01-11 21:00:00,539,83,89
2026-01-11 22:00:00,533,89,95
2026-01-11 23:00:00,523,84,96
2026-01-12 00:00:00,536,95,87
2026-01-12 01:00:00,501,94,96
2026-01-12 02:00:00,526,87,91
2026-01-12 03:00:00,520,87,95
2026-01-12 04:00:00,540,95,93
