Timestamp,Power_kWh,Voltage,Current
2026-01-01 00:00:00,3585,423,181
2026-01-01 01:00:00,3463,418,213
2026-01-01 02:00:00,3260,426,208
2026-01-01 03:00:00,3400,415,180
2026-01-01 04:00:00,3501,429,183
2026-01-01 05:00:00,3417,428,194
2026-01-01 06:00:00,3242,429,207
2026-01-01 07:00:00,3323,410,195
2026-01-01 08:00:00,3516,429,201
2026-01-01 09:00:00,3237,423,211
2026-01-01 10:00:00,3230,419,201
2026-01-01 11:00:00,3216,420,219
2026-01-01 12:00:00,3502,427,189
2026-01-01 13:00:00,3264,423,208
2026-01-01 14:00:00,3316,413,191
2026-01-01 15:00:00,3589,416,197
2026-01-01 16:00:00,3600,417,213
2026-01-01 17:00:00,3484,426,182
2026-01-01 18:00:00,3357,426,202
2026-01-01 19:00:00,3246,419,189
2026-01-01 20:00:00,3229,414,203
2026-01-01 21:00:00,3511,417,205
2026-01-01 22:00:00,3352,421,182
2026-01-01 23:00:00,3547,414,215
2026-01-02 00:00:00,3289,417,186
2026-01-02 01:00:00,3326,418,188
2026-01-02 02:00:00,3441,421,203
2026-01-02 03:00:00,3426,422,209
2026-01-02 04:00:00,3294,429,219
2026-01-02 05:00:00,3232,413,201
2026-01-02 06:00:00,3349,428,181
2026-01-02 07:00:00,3583,419,220
2026-01-02 08:00:00,3332,416,185
2026-01-02 09:00:00,3466,416,199
2026-01-02 10:00:00,3327,423,219
2026-01-02 11:00:00,3390,417,185
2026-01-02 12:00:00,3219,430,190
2026-01-02 13:00:00,3540,428,210
2026-01-02 14:00:00,3447,413,186
2026-01-02 15:00:00,3364,410,206
2026-01-02 16:00:00,3275,428,187
2026-01-02 17:00:00,3544,424,218
2026-01-02 18:00:00,3264,422,201
2026-01-02 19:00:00,3232,424,193
2026-01-02 20:00:00,3282,426,187
2026-01-02 21:00:00,3418,414,219
2026-01-02 22:00:00,3242,411,212
2026-01-02 23:00:00,3450,417,219
2026-01-03 00:00:00,3279,415,186
2026-01-03 01:00:00,3503,427,195
2026-01-03 02:00:00,3403,428,184
2026-01-03 03:00:00,3364,424,193
2026-01-03 04:00:00,3547,424,207
2026-01-03 05:00:00,3598,425,187
2026-01-03 06:00:00,3595,410,202
2026-01-03 07:00:00,3270,428,212
2026-01-03 08:00:00,3549,424,211
2026-01-03 09:00:00,3200,424,198
2026-01-03 10:00:00,3377,429,219
2026-01-03 11:00:00,3573,412,203
2026-01-03 12:00:00,3300,411,196
2026-01-03 13:00:00,3340,420,183
2026-01-03 14:00:00,3205,415,180
2026-01-03 15:00:00,3267,430,204
2026-01-03 16:00:00,3580,426,195
2026-01-03 17:00:00,3486,425,215
2026-01-03 18:00:00,3513,411,193
2026-01-03 19:00:00,3581,419,220
2026-01-03 20:00:00,3377,411,190
2026-01-03 21:00:00,3504,420,212
2026-01-03 22:00:00,3404,424,205
2026-01-03 23:00:00,3224,417,183
2026-01-04 00:00:00,3339,410,218
2026-01-04 01:00:00,3599,416,197
2026-01-04 02:00:00,3408,424,202
2026-01-04 03:00:00,3352,430,184
2026-01-04 04:00:00,3474,414,195
2026-01-04 05:00:00,3417,427,212
2026-01-04 06:00:00,3249,411,184
2026-01-04 07:00:00,3324,427,188
2026-01-04 08:00:00,3428,415,184
2026-01-04 09:00:00,3224,420,186
2026-01-04 10:00:00,3324,417,197
2026-01-04 11:00:00,3392,411,186
2026-01-04 12:00:00,3479,419,190
2026-01-04 13:00:00,3276,410,186
2026-01-04 14:00:00,3320,427,215
2026-01-04 15:00:00,3286,421,195
2026-01-04 16:00:00,3288,411,215
2026-01-04 17:00:00,3578,416,184
2026-01-04 18:00:00,3585,422,213
2026-01-04 19:00:00,3262,430,206
2026-01-04 20:00:00,3313,423,180
2026-01-04 21:00:00,3321,427,216
2026-01-04 22:00:00,3546,412,210
2026-01-04 23:00:00,3325,422,218
2026-01-05 00:00:00,3206,424,212
2026-01-05 01:00:00,3503,419,211
2026-01-05 02:00:00,3419,425,191
2026-01-05 03:00:00,3223,411,181
2026-01-05 04:00:00,3381,414,185
2026-01-05 05:00:00,3331,413,183
2026-01-05 06:00:00,3442,410,209
2026-01-05 07:00:00,3258,423,195
2026-01-05 08:00:00,3337,427,203
2026-01-05 09:00:00,3214,430,214
2026-01-05 10:00:00,3510,420,186
2026-01-05 11:00:00,3292,416,209
2026-01-05 12:00:00,3203,426,203
2026-01-05 13:00:00,3241,413,217
2026-01-05 14:00:00,3585,412,219
2026-01-05 15:00:00,3335,430,199
2026-01-05 16:00:00,3385,418,203
2026-01-05 17:00:00,3415,429,210
2026-01-05 18:00:00,3272,429,205
2026-01-05 19:00:00,3376,420,204
2026-01-05 20:00:00,3258,429,191
2026-01-05 21:00:00,3432,423,211
2026-01-05 22:00:00,3240,417,208
2026-01-05 23:00:00,3428,413,212
2026-01-06 00:00:00,3456,423,189
2026-01-06 01:00:00,3417,417,217
